,Common name,Length,Recordist,Date,Time,Country,Location,Elev. (m),Type,Remarks,Rating,Download link,ID
0,,0:08,Bernard BOUSQUET,2018-06-13,12:00,Tanzania,"Babati, Manyara Region",950,song,At a picnic stop on the road to Tarangire. Too high to be Sylvia boehmi... Thank you for help. Bernard,B,/439806/download,XC439806
1,,0:10,Jean-Esteban Liberek,2018-09-08,08:30,Colombia,Reserva Río Claro,320,call,"Amplified, applied high-pass filter and cleaned for background noises", ,/439805/download,XC439805
2,Dartford Warbler,0:13,Thomas ARMAND,2018-10-19,09:30,France,"Kerbrad, Ouessant",20,song,bird-seen:yes,B,/439804/download,XC439804
3,Yellow-browed Warbler,0:09,Thomas ARMAND,2018-10-20,14:30,France,"Prad Meur, Ouessant",10,call,bird-seen:yes,B,/439803/download,XC439803
4,Song Sparrow,0:12,Kerry Loux,2018-10-23,07:24,United States,"Churchville Nature Center, Bucks County, Pennsylvania",50,song,"Applied 250 Hz high-pass filter. Tried to locate the bird that was singing, but was unable to do so, although it sounded like the bird was no more than 20 ft from me. It sounded like it was down low in the shrubs along the lake shore, although there was plenty of tree cover available. I observed several Yellow-rumped Warblers (Myrtle) and a few Ruby-crowned Kinglets in the area as I searched for the singing bird.",D,/439802/download,XC439802
5,Black-faced Antthrush,0:47,Jean-Esteban Liberek,2018-09-08,07:30,Colombia,Reserva Río Claro,320,song,"Amplified, applied high-pass filter and cleaned for background noises", ,/439801/download,XC439801
6,Dunnock,1:27,Piotr Szczypinski,2018-10-08,10:00,Poland,"Gmina Dzierzgowo, mławski, mazowieckie",140,"call, flight call",bird-seen:yes,A,/439800/download,XC439800
7,Dunnock,0:21,Piotr Szczypinski,2018-10-16,10:00,Poland,"Gmina Dzierzgowo, mławski, mazowieckie",140,flight call,bird-seen:yes,C,/439799/download,XC439799
8,Dunnock,0:26,Piotr Szczypinski,2018-10-12,09:30,Poland,"Gmina Dzierzgowo, mławski, mazowieckie",140,call,bird-seen:no,C,/439798/download,XC439798
9,European Robin,0:09,Piotr Szczypinski,2018-10-12,08:30,Poland,"Gmina Dzierzgowo, Mława County, mazowieckie",150,call,bird-seen:no,C,/439797/download,XC439797
10,Common Blackbird,0:14,Piotr Szczypinski,2018-10-21,08:30,Poland,"Gmina Dzierzgowo (near Brzozowo-Maje), mławski, mazowieckie",170,call,bird-seen:yes,C,/439796/download,XC439796
11,Mute Swan,0:46,Uku Paal,2018-10-21,08:00,Estonia,"Ojako (near Marksa), Pärnu linn, Pärnu maakond",0,call,bird-seen:yes,C,/439795/download,XC439795
12,Grass Wren,0:30,Rosendo Fraga,2006-01-02,11:00,Argentina,"Near Cerro Sololasta, Coronel Pringles, San Luis",1500,song,Songs of 2-3 wrens perched in bunch grass., ,/439794/download,XC439794
